latitude,longitude,area_in_meters,confidence
-33.43412989,-70.63245887,135.2552,0.7911
-33.43648688,-70.60661178,18.7223,0.7111
-33.44446144,-70.63166013,209.5466,0.7471
-33.42185882,-70.60108056,90.4018,0.8032
-33.43372249,-70.63478294,200.6734,0.8309
-33.42010045,-70.60560828,107.6479,0.6585
-33.42917416,-70.62547126,83.6751,0.8589
-33.43687991,-70.63299757,1364.9715,0.8836
-33.44495295,-70.61404627,57.957,0.7806
-33.44366557,-70.62099412,21.4561,0.7823
-33.44277956,-70.60407422,588.1774,0.9393
-33.43915542,-70.6006866,39.9724,0.6749
-33.43927969,-70.62869004,37.6672,0.7034
-33.44233601,-70.62548494,861.7088,0.8561
-33.42102615,-70.60293941,87.5425,0.6689
-33.42465989,-70.61336047,35.3466,0.6729
-33.43275888,-70.61874208,214.0222,0.9223
-33.44471108,-70.60183733,350.8391,0.8407
-33.43161441,-70.6205091,167.7113,0.868
-33.44357466,-70.61537972,17.5443,0.7727
-33.43672739,-70.61746513,47.0801,0.7097
-33.42446438,-70.61173876,531.2864,0.7521
-33.44362408,-70.60109252,67.0752,0.7705
-33.44326467,-70.62031351,301.2055,0.8332
-33.43626645,-70.61743042,18.4048,0.7189
-33.43829501,-70.609445,133.892,0.8748
-33.43763936,-70.61444367,174.7638,0.705
-33.43746177,-70.61448753,26.2164,0.8005
-33.4335563,-70.63206984,299.0986,0.9202
-33.4279658,-70.62789824,63.1737,0.8625
-33.44335386,-70.6263091,171.4038,0.8816
-33.42349581,-70.60960004,387.3517,0.7819
-33.43833162,-70.608301,27.2845,0.806
-33.4417921,-70.6278451,48.2691,0.7224
-33.43627867,-70.616735,289.5746,0.7689
-33.43206488,-70.61688054,104.1553,0.8944
-33.42924862,-70.60055763,24.9757,0.712
-33.43076094,-70.60105321,53.3493,0.8435
-33.4301978,-70.63633989,41.6599,0.698
-33.43013419,-70.60705893,191.1471,0.8262
-33.42395053,-70.63942096,94.6646,0.7453
-33.4304524,-70.6094643,176.86,0.7528
-33.44111991,-70.62069129,94.0332,0.8761
-33.4388266,-70.60897973,469.7064,0.7944
-33.43811509,-70.61696498,92.5381,0.8151
-33.44362327,-70.61638518,43.9396,0.7838
-33.42007294,-70.63920448,63.917,0.8126
-33.42060988,-70.61903514,109.0336,0.8209
-33.44029266,-70.60218368,13.7414,0.6901
-33.44425215,-70.6301573,106.1955,0.8851
-33.44031842,-70.63172989,68.9411,0.8664
-33.42324891,-70.61088839,222.4136,0.8468
-33.42520078,-70.63244126,83.3431,0.8616
-33.43826608,-70.61428699,25.4629,0.6558
-33.44198249,-70.60082208,73.6339,0.8662
-33.44016872,-70.63534485,402.5546,0.7979
-33.44184245,-70.62044679,151.5249,0.8463
-33.42778729,-70.60005289,54.467,0.7473
-33.4246149,-70.60437478,48.2168,0.8857
-33.43913422,-70.63387544,101.6638,0.8013
-33.44090792,-70.62964166,11.9271,0.6545
-33.4391819,-70.61024949,141.9165,0.876
-33.44483427,-70.62481766,30.1061,0.7452
-33.44177746,-70.62022456,76.7125,0.8384
-33.4285302,-70.61916626,169.4437,0.7156
-33.42698751,-70.61034062,505.4311,0.8218
-33.43361922,-70.63321485,41.4647,0.7744
-33.44360681,-70.61603277,13.9598,0.7529
-33.43000433,-70.6080357,238.6298,0.8425
-33.44475812,-70.63700486,14.3394,0.7102
-33.43453262,-70.60735865,371.0205,0.8954
-33.43986442,-70.63091136,263.2373,0.8502
-33.42985816,-70.61705449,44.0872,0.7365
-33.43557065,-70.62076533,46.7727,0.6677
-33.44394106,-70.62072697,93.9564,0.8786
-33.43800114,-70.60265208,519.0319,0.8715
-33.43825549,-70.61443418,87.1795,0.7311
-33.44110745,-70.60576297,12.832,0.7061
-33.43495501,-70.63333663,35.0622,0.7635
-33.42457284,-70.63340135,9.7152,0.6669
-33.42015737,-70.6025488,406.3824,0.8999
-33.42769393,-70.60978571,123.4516,0.7795
-33.42582066,-70.60710148,28.0259,0.7383
-33.43429973,-70.62056911,32.4218,0.7332
-33.43799633,-70.60996134,105.8457,0.8664
-33.44381877,-70.6156937,1092.2645,0.8807
-33.43101651,-70.63239424,149.1417,0.9194
-33.43708703,-70.62193544,37.2244,0.6822
-33.42396642,-70.60337092,126.8839,0.9096
-33.43278327,-70.63142092,21.775,0.6938
-33.44496379,-70.62672038,118.9735,0.8846
-33.43242775,-70.6347179,115.3808,0.8755
-33.42579024,-70.6042101,20.6163,0.8094
-33.42242932,-70.60899431,517.8966,0.9135
-33.42272318,-70.60631766,141.0509,0.8768
-33.42261926,-70.61231864,186.3859,0.7905
-33.44011223,-70.62496202,55.3079,0.7481
-33.43833294,-70.6144046,308.4629,0.7752
-33.4400304,-70.6240029,148.5449,0.8496
-33.43677533,-70.61746872,24.1224,0.8461
-33.43892877,-70.61581577,68.358,0.7828
-33.43856001,-70.63406981,73.8916,0.8577
-33.43309032,-70.63610333,161.282,0.8754
-33.43125755,-70.63494504,221.7168,0.8395
-33.43236667,-70.62836843,260.1711,0.7958
-33.44015049,-70.60454605,44.786,0.8494
-33.42300614,-70.61545024,29.9955,0.8167
-33.43200466,-70.6303913,26.6808,0.7809
-33.43109626,-70.6206927,405.4789,0.8876
-33.44290256,-70.63183734,16.1685,0.7179
-33.43496464,-70.61156088,118.7317,0.8386
-33.4331097,-70.62488145,125.3724,0.7626
